tic,conm,datadate,fyear,at,lt,teq,revt,ni,exchg
CPIX,CUMBERLAND PHARMACEUTICALS,31DEC2019,2019,104.549,53.464,51.085,47.534,-3.538,14
SAND,SANDSTORM GOLD LTD,31DEC2019,2019,623.175,52.279,570.896,89.434,16.397,11
NEON,NEONODE INC,31DEC2019,2019,7.436,3.589,3.847,6.646,-5.298,14
TDC,TERADATA CORP,31DEC2019,2019,2057.0,1795.0,262.0,1899.0,-20.0,11
CXDC,CHINA XD PLASTICS CO LTD,31DEC2019,2019,2635.882,1799.508,836.374,1448.205,3.055,14
MHLD,MAIDEN HOLDINGS LTD,31DEC2019,2019,3568.196,3060.478,507.718,589.731,-131.903,14
SPI,SPI ENERGY CO LTD,31DEC2019,2019,178.853,184.328,-5.475,97.883,-15.258,14
SHIP,SEANERGY MARITIME HLDGS CORP,31DEC2019,2019,282.551,252.693,29.858,86.499,-11.698,14
FLY,FLY LEASING LTD  -ADR,31DEC2019,2019,3665.159,2786.882,878.277,465.017,225.877,11
MARK,REMARK HOLDINGS INC,31DEC2019,2019,14.827,42.555,-27.728,5.02,-25.614,14
MSCI,MSCI INC,31DEC2019,2019,4204.439,4281.153,-76.714,1557.796,563.648,11
LPLA,LPL FINANCIAL HOLDINGS INC,31DEC2019,2019,5880.238,4856.365,1023.873,5624.856,559.88,14
MAIN,MAIN STREET CAPITAL CORP,31DEC2019,2019,2711.549,1175.159,1536.39,243.373,129.569,11
ROIC,RETAIL OPPORTUNITY INVTS CP,31DEC2019,2019,2913.757,1621.929,1291.828,295.04,48.844,14
FFNW,FIRST FINANCIAL NORTHWEST,31DEC2019,2019,1341.885,1185.566,156.319,63.761,10.369,14
TGH,TEXTAINER GROUP HOLDINGS LTD,31DEC2019,2019,5202.617,3916.972,1285.645,707.481,56.724,11
CVI,CVR ENERGY INC,31DEC2019,2019,3905.0,2237.0,1668.0,6364.0,380.0,11
EPSN,EPSILON ENERGY LTD,31DEC2019,2019,97.669,21.306,76.363,26.69,8.698,14
PZN,PZENA INVESTMENT MANAGEMENT,31DEC2019,2019,199.452,91.242,108.21,150.746,8.462,11
ULTA,ULTA BEAUTY INC,31JAN2020,2019,4863.872,2961.778,1902.094,7398.068,705.945,14
FANH,FANHUA INC -ADS,31DEC2019,2019,494.161,200.542,293.619,532.242,27.134,14
ANTE,AIRNET TECHNOLOGY INC-ADS,31DEC2019,2019,97.706,116.669,-18.963,26.022,-31.477,14
APEI,AMERICAN PUBLIC EDUCATION,31DEC2019,2019,354.897,58.164,296.733,286.27,10.013,14
ENSG,ENSIGN GROUP INC,31DEC2019,2019,2361.909,1705.765,656.144,2036.524,110.534,14
LL,LUMBER LIQUIDATORS HLDGS INC,31DEC2019,2019,596.009,434.759,161.25,1092.602,9.663,11
SCU,SCULPTOR CAPITAL MANAGEMENT,31DEC2019,2019,1397.239,1031.778,215.461,597.346,7.054,11
UIHC,UNITED INSURANCE HOLDINGS CO,31DEC2019,2019,2467.218,1943.353,523.865,825.116,-29.872,14
NFBK,NORTHFIELD BANCORP INC,31DEC2019,2019,5055.302,4359.449,695.853,179.951,40.235,14
NES,NUVERRA ENVIRONMENTAL SOLUTN,31DEC2019,2019,236.099,61.667,174.432,168.238,-54.937,12
CIM,CHIMERA INVESTMENT CORP,31DEC2019,2019,27118.671,23165.378,3953.293,1791.104,413.551,11
RBCN,RUBICON TECHNOLOGY INC,31DEC2019,2019,34.801,1.556,33.245,3.526,-1.147,14
NMM,NAVIOS MARITIME PARTNERS LP,31DEC2019,2019,1253.517,525.498,728.019,219.379,-62.134,11
CCCL,CHINA CERAMICS CO LTD,31DEC2019,2019,52.03,12.838,39.192,47.046,-1.364,14
FPAY,FLEXSHOPPER INC,31DEC2019,2019,52.215,42.247,9.968,123.628,0.577,14
TITN,TITAN MACHINERY INC,31JAN2020,2019,975.343,630.239,345.104,1305.171,13.953,14
LRN,K12 INC,30JUN2019,2019,819.606,186.241,633.365,1015.752,37.209,11
FNV,FRANCO-NEVADA CORP,31DEC2019,2019,5280.6,218.4,5062.2,847.0,344.1,11
XIN,XINYUAN REAL ESTATE CO -ADR,31DEC2019,2019,7421.664,6629.712,791.952,2482.633,68.345,11
ACBI,ATLANTIC CAP BANCSHARES INC,31DEC2019,2019,2910.379,2583.884,326.495,116.572,49.855,14
OESX,ORION ENERGY SYSTEMS INC,31MAR2020,2019,72.563,41.528,31.035,150.869,12.462,14
BTG,B2GOLD CORP,31DEC2019,2019,2683.071,631.419,2051.652,1155.637,293.382,12
FOR,FORESTAR GROUP INC,30SEP2019,2019,1455.7,646.8,808.9,428.3,33.0,11
TNK,TEEKAY TANKERS LTD,31DEC2019,2019,2229.476,1239.556,989.92,943.917,41.362,11
ORN,ORION GROUP HOLDINGS INC,31DEC2019,2019,394.844,256.823,138.021,708.39,-5.359,11
SATS,ECHOSTAR CORP,31DEC2019,2019,7154.298,3408.745,3745.553,1886.081,-62.917,14
BIP,BROOKFIELD INFRS PTRS LP,31DEC2019,2019,56308.0,34111.0,22197.0,6597.0,233.0,11
SFBC,SOUND FINANCIAL BANCORP INC,31DEC2019,2019,719.853,642.127,77.726,38.607,6.679,14
BWEN,BROADWIND INC,31DEC2019,2019,122.866,82.106,40.76,178.22,-4.523,14
AHC,A. H. BELO CORP,31DEC2019,2019,141.045,83.308,57.737,183.563,9.292,11
EBSB,MERIDIAN BANCORP INC (MD),31DEC2019,2019,6343.694,5617.107,726.587,279.364,66.996,14
AACG,ATA CREATIVITY GLOBAL -ADS,31DEC2019,2019,97.097,46.755,43.894,14.044,-17.561,14
CSII,CARDIOVASCULAR SYSTEMS INC,30JUN2019,2019,218.577,70.633,147.944,248.017,-0.255,14
AWK,AMERICAN WATER WORKS CO INC,31DEC2019,2019,21327.0,15206.0,6121.0,3610.0,621.0,11
BEAT,BIOTELEMETRY INC,31DEC2019,2019,685.72,318.803,366.917,439.107,29.844,14
MKGI,MONAKER GROUP INC,29FEB2020,2019,10.226,4.079,6.147,0.442,-9.455,14
AYTU,AYTU BIOSCIENCE INC,30JUN2019,2019,34.721,27.633,7.088,7.32,-27.132,14
MEDS,TRXADE GROUP INC,31DEC2019,2019,5.571,1.431,4.14,7.436,-0.284,14
V,VISA INC,30SEP2019,2019,72574.0,37890.0,34684.0,22977.0,12080.0,11
CFX,COLFAX CORP,31DEC2019,2019,7386.832,3897.204,3489.628,3327.458,-527.646,11
FN,FABRINET,30JUN2019,2019,1255.318,392.219,863.099,1584.335,120.955,11
HCCI,HERITAGE-CRYSTAL CLEAN INC,31DEC2019,2019,471.314,205.683,265.631,444.427,8.363,14
CLDX,CELLDEX THERAPEUTICS INC,31DEC2019,2019,122.933,28.907,94.026,3.573,-50.878,14
PM,PHILIP MORRIS INTERNATIONAL,31DEC2019,2019,42875.0,52474.0,-9599.0,29805.0,7185.0,11
CJJD,CHINA JO-JO DRUGSTORES INC,31MAR2020,2019,99.517,80.739,18.778,117.328,-5.813,14
HI,HILLENBRAND INC,30SEP2019,2019,2228.6,1458.8,769.8,1807.3,121.4,11
LOGM,LOGMEIN INC,31DEC2019,2019,3855.997,1115.289,2740.708,1260.385,-14.555,14
CCXI,CHEMOCENTRYX INC,31DEC2019,2019,209.083,143.083,66.0,36.128,-55.489,14
ZGNX,ZOGENIX INC,31DEC2019,2019,414.25,169.191,245.059,3.648,-419.503,14
SWI,SOLARWINDS CORP,31DEC2019,2019,5310.742,2661.22,2649.522,932.525,18.642,11
ERII,ENERGY RECOVERY INC,31DEC2019,2019,188.774,52.761,136.013,86.942,10.913,14
KKR,KKR & CO INC,31DEC2019,2019,60899.319,30396.945,30502.374,9143.111,2005.049,11
VRS,VERSO CORP,31DEC2019,2019,1721.0,708.0,1013.0,2444.0,96.0,11
NX,QUANEX BUILDING PRODUCTS,31OCT2019,2019,645.11,314.923,330.187,893.841,-46.73,11
FLDM,FLUIDIGM CORP,31DEC2019,2019,264.812,111.2,153.612,117.243,-64.79,14
CDXS,CODEXIS INC,31DEC2019,2019,149.073,43.556,105.517,68.458,-11.935,14
IPI,INTREPID POTASH INC,31DEC2019,2019,578.439,143.783,434.656,220.075,13.631,11
AGNC,AGNC INVESTMENT CORP,31DEC2019,2019,113082.0,102041.0,11041.0,3230.0,688.0,14
ECHO,ECHO GLOBAL LOGISTICS INC,31DEC2019,2019,826.666,443.354,383.312,2184.977,14.846,14
HCI,HCI GROUP INC,31DEC2019,2019,802.609,617.066,185.543,241.381,26.576,11
MRC,MRC GLOBAL INC,31DEC2019,2019,2325.0,1328.0,997.0,3662.0,39.0,11
IOVA,IOVANCE BIOTHERAPEUTICS INC,31DEC2019,2019,344.655,45.684,298.971,0.0,-197.556,14
LOPE,GRAND CANYON EDUCATION INC,31DEC2019,2019,1690.289,246.856,1443.433,778.643,259.175,14
MLVF,MALVERN BANCORP INC,30SEP2019,2019,1265.222,1122.714,142.508,50.247,9.332,14
SB,SAFE BULKERS INC,31DEC2019,2019,1114.643,624.701,472.742,206.682,16.038,11
SINO,SINO-GLOBAL SHIPPING AMERICA,30JUN2019,2019,20.599,5.239,15.36,41.771,-6.534,14
HBCP,HOME BANCORP INC,31DEC2019,2019,2200.465,1884.136,316.329,115.423,27.932,14
OCSL,OAKTREE SPECIALTY LENDING CP,30SEP2019,2019,1481.038,550.408,930.63,147.702,126.16,14
IVR,INVESCO MORTGAGE CAPITAL INC,31DEC2019,2019,22346.545,19414.646,2931.899,784.535,364.101,11
MG,MISTRAS GROUP INC,31DEC2019,2019,719.878,433.856,286.022,748.586,6.06,11
NNA,NAVIOS MARITIME ACQUISITION,31DEC2019,2019,1555.955,1242.103,313.852,280.117,-65.441,11
BKI,BLACK KNIGHT INC,31DEC2019,2019,3962.8,2064.3,1898.5,1177.2,108.8,11
RSSS,RESEARCH SOLUTIONS INC,30JUN2019,2019,10.413,7.381,3.032,28.794,-0.96,14
ALIM,ALIMERA SCIENCES INC,31DEC2019,2019,50.309,54.754,-4.445,53.943,-10.443,14
ATVI,ACTIVISION BLIZZARD INC,31DEC2019,2019,19845.0,7040.0,12805.0,6489.0,1503.0,14
DL,CHINA DISTANCE EDUCATION-ADR,30SEP2019,2019,355.35,231.604,123.746,211.822,21.254,11
TREE,LENDINGTREE INC,31DEC2019,2019,947.969,545.643,402.326,1106.603,17.828,14
JBT,JOHN BEAN TECHNOLOGIES,31DEC2019,2019,1914.9,1345.4,569.5,1945.7,129.0,11
RXN,REXNORD CORP,31MAR2020,2019,3627.1,2313.4,1313.7,2068.3,180.1,11
BERY,BERRY GLOBAL GROUP INC,30SEP2019,2019,16469.0,14851.0,1618.0,8878.0,404.0,11
MYRG,MYR GROUP INC,31DEC2019,2019,1007.871,643.396,364.475,2071.159,37.69,14
VRSK,VERISK ANALYTICS INC,31DEC2019,2019,7055.2,4794.4,2260.8,2607.1,449.9,14
IBIO,IBIO INC,30JUN2019,2019,30.586,28.129,2.457,2.034,-17.593,12
RCON,RECON TECHNOLOGY LTD,30JUN2019,2019,22.86,7.322,15.538,14.909,-3.692,14
AVGO,BROADCOM INC,31OCT2019,2019,67493.0,42523.0,24970.0,22597.0,2724.0,14
